oracle_rank,name,oracle,direct_dependents,dependents_rank
459,ruby-concurrent,14.1307,21,1375
460,libmodule-implementation-perl,13.9915,6,4529
461,libio-socket-ip-perl,13.9862,17,1702
462,libkmod2,13.9614,18,1589
463,python3-dateutil,13.8365,203,113
464,libfindlib-ocaml,13.8254,4,6533
465,libgmpxx4ldbl,13.7946,21,1375
466,libnet-ssleay-perl,13.7516,23,1266
467,libosgi-annotation-java,13.6299,7,3967
468,libsnappy1v5,13.5115,29,1022
469,node-lezer-common,13.3279,22,1317
470,libevent-2.1-7t64,13.3236,70,387
471,libwebpmux3,13.1958,28,1060
472,libplexus-utils2-java,13.0987,70,387
473,libcommons-io-java,13.0543,108,244
474,python3-attr,13.0072,72,372
475,debian-edu-doc-en,13.0000,13,2260
476,libtk8.6,12.9018,41,706
477,libio-socket-ssl-perl,12.8813,51,540
478,golang-google-protobuf-dev,12.8485,61,448
479,libduktape207,12.7953,5,5417
480,libproxy1v5,12.7805,18,1589
481,libgslcblas0,12.7637,10,2896
482,libc6-ppc64el-cross,12.7396,25,1165
483,libc6-riscv64-cross,12.7177,24,1216
484,libqt6dbus6,12.7150,314,60
485,libsub-install-perl,12.7001,21,1375
486,sgml-base,12.6353,39,752
487,libc6-arm64-cross,12.6042,25,1165
488,libgsl28,12.5504,136,188
489,libfdt1,12.3413,220,95
490,python3-yaml,12.3199,345,54
491,libdata-optlist-perl,12.2935,8,3517
492,mount,12.2798,14,2110
493,libfuse3-4,12.2327,59,466
494,libjack-jackd2-0,12.1546,165,153
495,libjs-jquery-ui-theme-base,12.1361,2,11119
496,libabsl20240722,12.1168,36,800
497,sse4.2-support,12.0497,227,89
498,ocaml-findlib,11.8254,71,378
499,libsub-exporter-progressive-perl,11.7892,14,2110
500,liberror-prone-java,11.7517,5,5417
500,libguava-java,11.7517,74,363
502,libsub-exporter-perl,11.7471,72,372
503,ocl-icd-libopencl1,11.5246,43,678
504,openjdk-21-doc,11.4694,1,16422
505,libboost-thread1.83.0,11.3905,112,230
506,libxmu6,11.3484,70,387
507,libencode-locale-perl,11.3357,8,3517
508,python3-numpy,11.3267,612,33
509,libcompress-raw-bzip2-perl,11.3164,2,11119
509,libcompress-raw-zlib-perl,11.3164,2,11119
511,libpaper2,11.3061,14,2110
512,libhwloc15,11.3000,24,1216
513,libhttp-date-perl,11.2986,22,1317
514,python3-numpy-dev,11.2380,1,16422
515,debianutils,11.2376,34,854
